timestamp,temp_C,humidity_%,pressure_hPa,gas_resistance_kOhm,mq135_raw,mq135_voltage,mq135_ratio,mq3_raw,mq3_voltage,mq3_ratio,contamination_level_%,label
933223,31.66,71.89,1007.62,25.77,2300.00,1.853,0.7804,1644.78,1.325,1.4897,100,best
939092,31.66,71.89,1007.62,25.62,2290.56,1.846,0.7878,1656.62,1.335,1.4719,100,best
944961,31.67,71.87,1007.63,25.79,2272.96,1.832,0.8016,1648.42,1.328,1.4842,100,best
950830,31.67,71.87,1007.63,25.77,2280.48,1.838,0.7957,1647.52,1.328,1.4856,100,best
956699,31.68,71.87,1007.64,25.77,2270.44,1.830,0.8036,1648.28,1.328,1.4844,100,best
962568,31.69,71.83,1007.65,25.79,2275.80,1.834,0.7994,1647.42,1.328,1.4857,100,best
968437,31.69,71.84,1007.65,25.76,2266.30,1.826,0.8069,1648.22,1.328,1.4845,100,best
974306,31.70,71.83,1007.66,25.82,2273.12,1.832,0.8015,1648.38,1.328,1.4843,100,best
980175,31.70,71.82,1007.66,25.77,2267.40,1.827,0.8060,1648.80,1.329,1.4836,100,best
986044,31.71,71.82,1007.66,25.81,2259.00,1.820,0.8127,1648.28,1.328,1.4844,100,best
991913,31.71,71.80,1007.67,25.85,2295.58,1.850,0.7839,1649.76,1.329,1.4822,100,best
997782,31.72,71.81,1007.66,25.85,2284.86,1.841,0.7922,1650.26,1.330,1.4814,100,best
1003651,31.72,71.79,1007.66,25.84,2244.30,1.809,0.8246,1653.54,1.333,1.4765,100,best
1009520,31.73,71.78,1007.66,25.87,2281.32,1.838,0.7950,1650.74,1.330,1.4807,100,best
1015389,31.73,71.78,1007.67,25.82,2254.12,1.817,0.8167,1650.48,1.330,1.4811,100,best
1021258,31.74,71.78,1007.68,25.81,2254.12,1.817,0.8167,1650.84,1.330,1.4806,100,best
1027127,31.74,71.78,1007.68,25.70,2250.66,1.814,0.8195,1648.82,1.329,1.4836,100,best
1032996,31.74,71.75,1007.68,25.87,2255.32,1.817,0.8157,1648.96,1.329,1.4834,100,best
1038865,31.75,71.75,1007.68,25.85,2246.12,1.810,0.8231,1645.62,1.326,1.4884,100,best
1044734,31.75,71.74,1007.68,25.90,2245.86,1.810,0.8234,1655.32,1.334,1.4738,100,best
1050603,31.76,71.74,1007.68,25.96,2249.22,1.813,0.8206,1647.92,1.328,1.4850,100,best
1056472,31.76,71.72,1007.68,25.96,2247.88,1.811,0.8217,1649.60,1.329,1.4824,100,best
1062341,31.77,71.71,1007.68,25.98,2239.98,1.805,0.8281,1655.86,1.334,1.4730,100,best
1068210,31.77,71.71,1007.68,25.92,2246.62,1.810,0.8227,1641.32,1.323,1.4949,100,best
1074079,31.78,71.69,1007.69,25.87,2227.96,1.795,0.8380,1650.56,1.330,1.4810,100,best
1079948,31.78,71.67,1007.70,25.88,2211.18,1.782,0.8520,1649.68,1.329,1.4823,100,best
1085817,31.78,71.69,1007.70,25.95,2240.06,1.805,0.8281,1647.50,1.328,1.4856,100,best
1091686,31.79,71.67,1007.70,25.95,2236.44,1.802,0.8310,1647.90,1.328,1.4850,100,best
1097555,31.79,71.66,1007.70,26.03,2227.84,1.795,0.8381,1648.26,1.328,1.4844,100,best
1103424,31.80,71.64,1007.71,26.03,2225.52,1.793,0.8400,1648.06,1.328,1.4847,100,best
1109293,31.80,71.66,1007.71,26.04,2225.10,1.793,0.8404,1649.36,1.329,1.4828,100,best
1115162,31.81,71.64,1007.70,26.06,2231.66,1.798,0.8350,1648.80,1.329,1.4836,100,best
